Compound_ID,Canonical_SMILES,InChIKey,logP_median,logP_uncertainty,n_measurements,logP_min,logP_max,Tier,TPSA,MW,Coumarin_Type,Cluster_ID,Murcko_scaffold_ID,is_OOD,external_role,Murcko_scaffold_SMILES_v2,Murcko_scaffold_ID_v2
CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,HBWYGHFMIGRUJP-UHFFFAOYSA-N,2.61,,1,2.61,2.61,GOLD,116.68,393.36,conjugated_coumarin,,,False,NONE,O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,d4d4f4d698055093
CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,UMVLTWDWQRXPPJ-VQHVLOKHSA-N,2.64,,1,2.64,2.64,GOLD,116.68,419.39,conjugated_coumarin,,,False,NONE,O=C(/C=C/c1ccccc1)OCc1cn(-c2cc3ccccc3oc2=O)nn1,885c278946358783
CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,AGVFKBGSCZJNOY-UHFFFAOYSA-N,2.505,0.0549999999999999,6,2.36,2.58,STRICT,110.11,442.42,dimeric_coumarin,,,False,NONE,O=c1oc2ccccc2cc1C(c1ccccc1)c1cc2ccccc2oc1=O,002db65b74dafdc8
CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,DIQYWLQJMGBCPQ-UHFFFAOYSA-N,4.88,,1,4.88,4.88,STRICT,68.02,467.59,conjugated_coumarin,,,False,NONE,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,ef627cbbfc527273
CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,QRCJKAAPCQHBNP-UHFFFAOYSA-N,5.04,,1,5.04,5.04,STRICT,68.02,495.64,conjugated_coumarin,,,False,NONE,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,ef627cbbfc527273
CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,HMIXIAUJFRFPRY-UHFFFAOYSA-N,5.03,,1,5.03,5.03,STRICT,68.02,495.64,conjugated_coumarin,,,False,NONE,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,ef627cbbfc527273
CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,WWRVZCAMFBTSKC-UHFFFAOYSA-N,4.76,,1,4.76,4.76,STRICT,77.25,497.61,conjugated_coumarin,,,False,NONE,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,ef627cbbfc527273
CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,ZHXSSWIXZCZYMS-UHFFFAOYSA-N,3.93,,1,3.93,3.93,STRICT,80.91,468.58,conjugated_coumarin,,,False,NONE,O=c1cc(CSc2nc(Nc3ccncc3)c3ccccc3n2)c2ccccc2o1,b3a8db08a7bc399c
CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,VXIXUWQIVKSKSA-UHFFFAOYSA-N,2.37,,1,2.37,2.37,STRICT,50.44,162.14,simple_coumarin,,,False,NONE,O=c1ccc2ccccc2o1,c51a245eee35e68e
CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,PJVWKTKQMONHTI-UHFFFAOYSA-N,3.28,,1,3.28,3.28,STRICT,67.51,308.33,simple_coumarin,,,False,NONE,O=c1oc2ccccc2cc1Cc1ccccc1,74ae3eb7f63316c2
